ul.PRUSZKOWSKA 56, 05-090 Raszyn;;;;
ul.SIENKIEWICZA 7, 09-100 Płońsk;350;1;08:00:00;18:00:00
ul.RYNKOWA 4, 08-110 Siedlce;456;1;08:00:00;18:00:00
ul.SIENKIEWICZA 4, 06-500 Mława;280;1;08:00:00;18:00:00
ul.PIOTRA SKARGI 31/1, 06-100 Pułtusk;420;1;08:00:00;18:00:00
ul.MICKIEWICZA 8, 06-400 Ciechanów;500;1;08:00:00;18:00:00
ul.ORLĄT LWOWSKICH 5, 26-615 Radom;14;1;08:00:00;18:00:00
ul.GENERAŁA TADEUSZA KOŚCIUSZKI 27, 07-410 Ostrołęka;254;1;08:00:00;18:00:00
ul.JANA KOCHANOWSKIEGO 22A, 09-402 Płock;452;1;08:00:00;18:00:00
ul.KONSTYTUCJI 3 MAJA 17, 05-250 Radzymin;270;1;08:00:00;18:00:00
ul.KSIĘDZA SAJNY 1A, 05-530 Góra Kalwaria;360;1;08:00:00;18:00:00
ul.GENERAŁA JÓZEFA SOWIŃSKIEGO 57, 07-200 Wyszków;71;1;08:00:00;18:00:00
ul.NARUTOWICZA 5, 08-200 Łosice;300;1;08:00:00;18:00:00
ul.WOLNOŚCI 12, 08-300 Sokołów Podlaski;97;1;08:00:00;18:00:00
ul.CHOPINA 168, 96-503 Sochaczew;21;1;08:00:00;18:00:00
ul.KOŚCIUSZKI 4, 05-120 Legionowo;400;1;08:00:00;18:00:00
