ul.PRUSZKOWSKA 56, 05-090 Raszyn;;;;
ul.CISZEWSKIEGO 15, 02-777 Warszawa;27;1;08:00:00;18:00:00
ul.RYNKOWA 4, 08-110 Siedlce;456;1;08:00:00;18:00:00
ul.KSIĘDZA IGNACEGO SKORUPKI 71, 05-091 Ząbki;120;1;08:00:00;18:00:00
ul.SZKOLNA 4, 05-304 Stanisławów;398;1;08:00:00;18:00:00
ul.PUŁTUSKA 53D, 05-140 Serock;290;1;08:00:00;18:00:00
ul.KONSTYTUCJI 3 MAJA 17, 05-250 Radzymin;270;1;08:00:00;18:00:00
ul.KOŚCIELNA 9, 05-205 Wola Rasztowska;410;1;08:00:00;18:00:00
ul.KASZTANOWA 8, 05-270 Marki;498;1;08:00:00;18:00:00
ul.WARSZAWSKA 28, 05-480 Karczew;90;1;08:00:00;18:00:00
ul.CMENTARNA 2, 08-124 Mokobody;70;1;08:00:00;18:00:00
ul.LIPOWA 15, 08-460 Sobolew;290;1;08:00:00;18:00:00
ul.STASZICA 24, 08-400 Garwolin;80;1;08:00:00;18:00:00
ul.GENERAŁA JÓZEFA SOWIŃSKIEGO 57, 07-200 Wyszków;71;1;08:00:00;18:00:00
ul.KOŚCIELNA 61, 05-135 Wieliszew;110;1;08:00:00;18:00:00
ul.NARUTOWICZA 5, 08-200 Łosice;300;1;08:00:00;18:00:00
ul.PRĄDZYŃSKIEGO 11, 05-200 Wołomin;74;1;08:00:00;18:00:00
ul.POWSTAŃCÓW 27, 05-240 Tłuszcz;71;1;08:00:00;18:00:00
ul.3 MAJA 1 A, 07-104 Stoczek;18;1;08:00:00;18:00:00
ul.PIŁSUDSKIEGO 42A, 05-300 Mińsk Mazowiecki;5;1;08:00:00;18:00:00
ul.DROHICZYŃSKA 8, 07-322 Nur;30;1;08:00:00;18:00:00
ul.LIPOWA 1A, 08-320 Sterdyń;450;1;08:00:00;18:00:00
ul.BIEGAŃSKIEGO 3, 07-320 Małkinia Górna;66;1;08:00:00;18:00:00
ul.WOLNOŚCI 12, 08-300 Sokołów Podlaski;97;1;08:00:00;18:00:00
ul.ALEJA POKOJU 2, 07-130 Łochów;200;1;08:00:00;18:00:00
ul.PLAC KOŚCIELNY 6, 07-306 Brok;321;1;08:00:00;18:00:00
ul.PRZEMYSŁOWA 7, 07-100 Węgrów;79;1;08:00:00;18:00:00
ul.RADWAŃSKIEGO 34, 07-300 Ostrów Mazowiecka;55;1;08:00:00;18:00:00
ul.SIENKIEWICZA 7, 08-304 Jabłonna Lacka;71;1;08:00:00;18:00:00
ul.SZKOLNA 3, 05-340 Kołbiel;25;1;08:00:00;18:00:00
ul.SPORTOWA 17, 08-450 Łaskarzew;62;1;08:00:00;18:00:00
ul.REYMONTA 36A, 08-430 Żelechów;150;1;08:00:00;18:00:00
ul.SŁONECZNA 7, 08-330 Kosów Lacki;168;1;08:00:00;18:00:00
ul.MICKIEWICZA 2, 05-310 Kałuszyn;74;1;08:00:00;18:00:00
ul.GRÓJECKA 132, 02-390 Warszawa;70;1;08:00:00;18:00:00
